Bitmap file stem,Jpeg file stem
1,1
10,2
11,3
12,4
15,5
16,6
17,7
18,8
19,9
2,10
20,11
21,12
22,13
23,14
24,15
25,16
26,17
27,18
28,19
29,20
3,21
30,22
31,23
32,24
4,25
492,26
493,27
494,28
495,29
496,30
497,31
498,32
499,33
5,34
500,35
501,36
502,37
503,38
504,39
505,40
506,41
507,42
508,43
509,44
510,45
511,46
512,47
513,48
514,49
515,50
516,51
517,52
518,53
519,54
520,55
521,56
522,57
523,58
524,59
525,60
526,61
527,62
528,63
529,64
530,65
531,66
532,67
533,68
534,69
535,70
536,71
537,72
538,73
539,74
540,75
541,76
542,77
543,78
544,79
545,80
546,81
547,82
548,83
549,84
550,85
6,86
7,87
8,88
9,89
